OID_,ref,site_id,lat,lon,RSG,Sand,Silt,Clay,Slope,Elevation,MAT,MAP,pH,TOC,TN,occ_p,mineral_p,inorg_p,org_p,avail_p,total_p,He_et_al,total_p_RF
1,Lloyd et al. 2015,OTT-01,-16.402100000000001,-61.226399999999998,Acrisols,0.750000000000000,0.140000000000000,0.100000000000000,0.843346800000000,444.000000000000000,24.600000000000001,1150.000000000000000,5.900000000000000,1.080000000000000,0.120000000000000,143.400000000000006,4.540000000000000,9.520000000000000,46.710000000000001,19.500000000000000,223.699999999999989,324.4284058,231.1598969
2,Lloyd et al. 2015,ACU-01,-15.185200000000000,-61.320000000000000,Acrisols,0.490000000000000,0.200000000000000,0.310000000000000,1.025169000000000,323.000000000000000,24.100000000000001,1270.000000000000000,6.300000000000000,1.850000000000000,0.170000000000000,308.300000000000011,2.720000000000000,40.820000000000000,132.879999999999995,22.219999999999999,506.899999999999977,262.0238953,320.2292175
3,Quesada et al. 2010,SCR-05,1.930000000000000,-67.037999999999997,Acrisols,0.890000000000000,0.060000000000000,0.050000000000000,0.194289800000000,98.599999999999994,26.199999999999999,3425.000000000000000,5.030000000000000,2.049000000000000,0.110000000000000,10.690000000000000,0.280000000000000,3.040000000000000,6.680000000000000,3.880000000000000,24.570000000000000,288.6739807,323.3594971
4,Quesada et al. 2010,SCR-01,1.933000000000000,-67.022000000000006,Acrisols,0.880000000000000,0.030000000000000,0.080000000000000,0.202173600000000,109.000000000000000,26.199999999999999,3425.000000000000000,4.790000000000000,1.840000000000000,0.106000000000000,67.849999999999994,0.480000000000000,7.500000000000000,19.570000000000000,5.950000000000000,101.349999999999994,288.6739807,323.3594971
5,Quesada et al. 2010,ALF-01,-9.598000000000001,-55.936999999999998,Acrisols,0.790000000000000,0.100000000000000,0.110000000000000,0.947244500000000,273.699999999999989,25.600000000000001,2353.099999999999909,4.650000000000000,1.188000000000000,0.118000000000000,70.530000000000001,1.230000000000000,15.820000000000000,23.539999999999999,7.020000000000000,118.140000000000001,281.8321533,180.9128418
6,Quesada et al. 2010,SUC-02,-3.253000000000000,-72.903000000000006,Acrisols,0.320000000000000,0.220000000000000,0.460000000000000,0.664473700000000,113.400000000000006,26.300000000000001,2814.800000000000182,4.420000000000000,1.784000000000000,0.168000000000000,172.719999999999999,1.280000000000000,29.649999999999999,46.799999999999997,9.449999999999999,259.899999999999977,487.9538879,446.8388062
7,Quesada et al. 2010,CAX-02,-1.743000000000000,-51.460999999999999,Acrisols,0.240000000000000,0.300000000000000,0.460000000000000,0.191485100000000,38.500000000000000,26.800000000000001,2178.099999999999909,3.960000000000000,1.168000000000000,0.073000000000000,85.739999999999995,1.130000000000000,10.840000000000000,11.650000000000000,5.600000000000000,114.959999999999994,505.1673889,199.7401428
8,Quesada et al. 2010,ELD-12,6.102000000000000,-61.402999999999999,Acrisols,0.640000000000000,0.160000000000000,0.200000000000000,6.632593000000000,327.500000000000000,26.300000000000001,2820.699999999999818,4.760000000000000,2.624000000000000,0.164000000000000,129.719999999999999,0.340000000000000,12.520000000000000,21.000000000000000,8.550000000000001,172.129999999999995,304.3197327,281.4858398
9,Quesada et al. 2010,CAX-01,-1.737000000000000,-51.463000000000001,Acrisols,0.640000000000000,0.110000000000000,0.250000000000000,0.191485100000000,39.600000000000001,26.800000000000001,2178.099999999999909,4.000000000000000,1.285000000000000,0.076000000000000,81.120000000000005,0.820000000000000,8.449999999999999,16.199999999999999,8.820000000000000,115.409999999999997,505.1673889,199.7401428
10,Quesada et al. 2010,NOU-02,4.083000000000000,-52.667000000000002,Acrisols,0.120000000000000,0.200000000000000,0.680000000000000,1.470712000000000,140.500000000000000,24.899999999999999,3329.199999999999818,4.760000000000000,2.557000000000000,0.226000000000000,251.430000000000007,0.570000000000000,35.820000000000000,60.149999999999999,11.310000000000000,359.279999999999973,269.1006470,389.8286743
11,Quesada et al. 2010,OTT-01,-16.390999999999998,-61.212000000000003,Acrisols,0.750000000000000,0.140000000000000,0.100000000000000,0.403151200000000,446.500000000000000,23.300000000000001,1142.599999999999909,5.880000000000000,1.075000000000000,0.115000000000000,143.370000000000005,4.580000000000000,9.460000000000001,46.820000000000000,19.140000000000001,223.370000000000005,324.4284058,231.1598969
12,Quesada et al. 2010,JEN-11,-4.878000000000000,-73.629999999999995,Acrisols,0.440000000000000,0.340000000000000,0.220000000000000,0.436508800000000,122.400000000000006,26.800000000000001,2630.000000000000000,3.980000000000000,2.176000000000000,0.177000000000000,49.350000000000001,0.940000000000000,25.579999999999998,47.509999999999998,19.930000000000000,143.310000000000002,468.1638184,418.0416870
13,Quesada et al. 2010,ACU-01,-15.249000000000001,-61.244999999999997,Acrisols,0.490000000000000,0.200000000000000,0.310000000000000,0.752121100000000,268.300000000000011,24.100000000000001,1270.299999999999955,6.300000000000000,1.848000000000000,0.174000000000000,308.329999999999984,2.290000000000000,40.549999999999997,133.610000000000014,22.160000000000000,506.939999999999998,262.0238953,255.5346680
14,Quesada et al. 2010,JAS-03,-1.077000000000000,-77.609999999999999,Alisols,0.400000000000000,0.270000000000000,0.330000000000000,1.154447000000000,430.600000000000023,23.800000000000001,3710.699999999999818,4.490000000000000,2.087000000000000,0.208000000000000,57.659999999999997,0.970000000000000,24.289999999999999,58.219999999999999,10.420000000000000,151.560000000000002,415.5463257,560.2605591
