id,nx,ny,lat,lon,Sand,Silt,Clay,Slope,Elevation,MAT,MAP,pH,TOC,TN,SRG_Acrisols,SRG_Alisols,SRG_Andosols,SRG_Arenosols,SRG_Cambisols,SRG_Ferralsols,SRG_Fluvisols,SRG_Gleysols,SRG_Lixisols,SRG_Luvisols,SRG_Nitisols,SRG_Plinthosols,SRG_Podzol,SRG_Regosols,SRG_Umbrisols
29,231,165,7.25,-64.25,0.141,0.33,0.529,1.0888,158.7214,26.7944,1651.5,3.525,1.1705,0.11031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,232,165,7.25,-63.75,0.2378,0.33,0.4322,1.2395,201.1278,26.4944,1501.3334,3.745,0.9109,0.17075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,233,165,7.25,-63.25,0.3056,0.3298,0.3646,0.6931,255.8747,25.8861,1388.6389,3.897,0.7328,0.14644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,234,165,7.25,-62.75,0.4655,0.1741,0.2204,0.7703,300.7044,25.8944,1349.4166,4.2872,0.6553,0.19048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,235,165,7.25,-62.25,0.7322,0.081,0.1868,0.5098,263.4917,26.0056,1308.6111,4.489,0.7453,0.12383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,236,165,7.25,-61.75,0.3678,0.3038,0.3284,0.9233,218.2317,26.2694,1217.6666,3.903,0.7235,0.18736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,237,165,7.25,-61.25,0.35,0.33,0.32,0.4033,179.9214,26.2556,1436.3334,4,0.61,0.13977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,238,165,7.25,-60.75,0.3786,0.2718,0.3496,0.337,171.1789,25.9111,1792.0834,4.122,0.8098,0.15909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,239,165,7.25,-60.25,0.5058,0.1944,0.2998,0.8556,157.4055,25.8972,2122.25,4.691,1.4485,0.13446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,240,165,7.25,-59.75,0.5008,0.1884,0.3108,0.6504,104.3169,26.0778,2344.3889,4.866,1.5466,0.12832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,241,165,7.25,-59.25,0.6028,0.1348,0.2624,0.5967,77.1472,26.1944,2414.3333,4.653,1.6541,0.11316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,242,165,7.25,-58.75,0.4579,0.0376,0.1005,0.409,49.2356,26.7583,2429,3.8727,19.68899,0.15359,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,226,166,6.75,-66.75,0.5151,0.1713,0.3136,0.8374,68.0583,27.0667,1938.5555,4.123,0.9272,0.09797,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,227,166,6.75,-66.25,0.1872,0.33,0.4828,3.3583,422.0956,24.8639,2143.1389,3.63,1.0466,0.09817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,228,166,6.75,-65.75,0.2708,0.33,0.3992,2.3619,244.3719,26.5139,2089.1943,3.82,0.8224,0.09736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,229,166,6.75,-65.25,0.2158,0.33,0.4542,3.5813,319.7892,26.1556,2201.3333,3.695,0.9699,0.09469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,230,166,6.75,-64.75,0.262,0.33,0.408,1.1413,100.2111,27.2917,2131.2778,3.8,0.846,0.10208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,231,166,6.75,-64.25,0.3258,0.33,0.3442,0.928,216.1822,26.0722,2155.5278,3.945,0.6749,0.10193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,232,166,6.75,-63.75,0.35,0.33,0.32,0.8307,292.6497,25.9528,1905.0834,4,0.61,0.22384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,233,166,6.75,-63.25,0.3808,0.3038,0.3154,0.5873,301.118,25.925,1772.4722,3.987,0.7214,0.24748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,234,166,6.75,-62.75,0.7259,0.1019,0.1422,0.9083,317.8714,25.6639,1816.9166,4.6309,0.6398,0.22913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,235,166,6.75,-62.25,0.83,0.0476,0.1224,1.1034,339.3969,26.1639,1711.25,4.834,0.5818,0.20463,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,236,166,6.75,-61.75,0.357,0.3074,0.3356,0.6574,178.4536,26.5417,1538.6945,3.861,0.7449,0.16311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,237,166,6.75,-61.25,0.406,0.288,0.306,0.516,157.4467,26.25,1570.3055,4.12,0.83,0.15867,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,238,166,6.75,-60.75,0.5948,0.1914,0.2138,1.3127,203.2414,25.4972,1692.6111,4.371,1.4835,0.13574,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,239,166,6.75,-60.25,0.5496,0.1638,0.2866,1.0562,174.6856,25.8389,2002.8055,4.742,1.5934,0.10799,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,240,166,6.75,-59.75,0.63,0.12,0.25,0.7909,140.6389,25.9361,2218,4.6,1.71,0.08414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,241,166,6.75,-59.25,0.6113,0.1301,0.2586,0.6178,113.6114,26.0361,2153.7222,4.637,1.6756,0.0709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,242,166,6.75,-58.75,0.6775,0.0751,0.1566,0.468,82.3867,26.25,2068.9443,4.2737,5.17778,0.10951,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
