pform,nmodels,mean_acc,mae,r2,cv_mean,cv_std
inorg_p,102,68.23,11.600651633986924,0.6427114166163821,0.5793775655307211,0.18299046262023214
org_p,247,75.14,22.667876428250096,0.7983320444926253,0.6715049015190055,0.23670368248861548
avail_p,419,76.86,5.213741792627949,0.7169961213155225,0.5964879966011418,0.21815640226405608
total_p,300,77.37,69.90224796296295,0.8225153700031917,0.7049134201868736,0.16068787280253463
occ_p,56,64.61,48.703679034391534,0.6459428695092087,0.5812602005481142,0.22170655087988572
mineral_p,1,15.8,7.674844444444442,0.7586624064011394,0.5594254577118316,0.17234919930419254
