OID_,lat,lon,occ_p
163,-8.0416698,-76.4582977,213.50529999999998
164,-8.0416698,-76.375,196.53289999999987
165,-8.0416698,-76.2917023,185.11849999999998
166,-8.0416698,-76.2082977,208.42940000000002
167,-8.0416698,-76.125,285.5982000000002
168,-8.0416698,-76.0417023,211.96170000000006
169,-8.0416698,-75.9582977,151.02800000000002
170,-8.0416698,-75.875,239.8295000000001
171,-8.0416698,-75.7917023,187.15329999999986
172,-8.0416698,-75.7082977,170.7935
173,-8.0416698,-75.625,212.77590000000006
174,-8.0416698,-75.5417023,121.88460000000003
175,-8.0416698,-75.4582977,118.27790000000003
176,-8.0416698,-75.375,119.09520000000003
177,-8.0416698,-75.2917023,162.78959999999998
178,-8.0416698,-75.2082977,127.97310000000002
179,-8.0416698,-75.125,111.97149999999999
180,-8.0416698,-75.0417023,100.85430000000001
181,-8.0416698,-74.9582977,104.45409999999997
182,-8.0416698,-74.875,150.0374
183,-8.0416698,-74.7917023,112.85939999999995
184,-8.0416698,-74.7082977,181.0698
185,-8.0416698,-74.625,186.3465
186,-8.0416698,-74.5417023,174.46799999999996
187,-8.0416698,-74.4582977,135.82309999999995
188,-8.0416698,-74.375,137.92079999999996
189,-8.0416698,-74.2917023,162.73699999999988
190,-8.0416698,-74.2082977,115.99989999999998
191,-8.0416698,-74.125,124.05100000000002
192,-8.0416698,-74.0417023,129.9179
193,-8.0416698,-73.9582977,142.05449999999996
194,-8.0416698,-73.875,119.46910000000001
195,-8.0416698,-73.7917023,167.32209999999995
196,-8.0416698,-73.7082977,178.15269999999998
197,-8.0416698,-73.625,152.85749999999996
198,-8.0416698,-73.5417023,172.18509999999998
199,-8.0416698,-73.4582977,170.15169999999995
200,-8.0416698,-73.375,159.8559999999999
201,-8.0416698,-73.2917023,179.43579999999997
202,-8.0416698,-73.2082977,171.45169999999996
203,-8.0416698,-73.125,168.74039999999994
204,-8.0416698,-73.0417023,180.42419999999998
205,-8.0416698,-72.9582977,160.47889999999995
206,-8.0416698,-72.875,166.8993
207,-8.0416698,-72.7917023,168.57469999999986
208,-8.0416698,-72.7082977,160.1588999999999
209,-8.0416698,-72.625,182.32429999999994
210,-8.0416698,-72.5417023,184.5878
211,-8.0416698,-72.4582977,180.08819999999997
212,-8.0416698,-72.375,191.9748
213,-8.0416698,-72.2917023,186.2442
214,-8.0416698,-72.2082977,211.40990000000005
215,-8.0416698,-72.125,184.9057
216,-8.0416698,-72.0417023,214.7994000000001
217,-8.0416698,-71.9582977,210.39870000000008
218,-8.0416698,-71.875,222.59920000000008
219,-8.0416698,-71.7917023,215.2904000000001
220,-8.0416698,-71.7082977,239.85210000000018
221,-8.0416698,-71.625,214.82030000000003
222,-8.0416698,-71.5417023,181.3235
223,-8.0416698,-71.4582977,209.78050000000002
224,-8.0416698,-71.375,183.6116
225,-8.0416698,-71.2917023,154.1245
226,-8.0416698,-71.2082977,185.87120000000007
227,-8.0416698,-71.125,166.78979999999999
228,-8.0416698,-71.0417023,172.61440000000002
229,-8.0416698,-70.9582977,181.26429999999996
230,-8.0416698,-70.875,187.4375
231,-8.0416698,-70.7917023,184.47090000000003
232,-8.0416698,-70.5417023,191.81449999999992
233,-8.0416698,-70.4582977,187.94499999999996
234,-8.0416698,-70.375,181.32940000000002
235,-8.0416698,-70.2917023,136.7361999999999
236,-8.0416698,-70.2082977,131.34399999999994
237,-8.0416698,-70.125,142.70149999999992
238,-8.0416698,-70.0417023,135.5869999999999
239,-8.0416698,-69.9582977,138.65179999999987
240,-8.0416698,-69.875,147.1510999999999
241,-8.0416698,-69.7917023,150.0981
242,-8.0416698,-69.7082977,132.53289999999996
243,-8.0416698,-69.625,154.4625999999999
244,-8.0416698,-69.5417023,142.2745999999999
245,-8.0416698,-69.4582977,145.56389999999996
246,-8.0416698,-69.375,136.52679999999992
247,-8.0416698,-69.2917023,124.45069999999998
248,-8.0416698,-69.2082977,135.51409999999996
249,-8.0416698,-69.125,142.96599999999995
250,-8.0416698,-69.0417023,150.20569999999995
251,-8.0416698,-68.9582977,133.81799999999993
252,-8.0416698,-68.875,141.37599999999998
253,-8.0416698,-68.7917023,165.8007999999999
254,-8.0416698,-68.7082977,151.01379999999995
255,-8.0416698,-68.625,145.5022999999999
256,-8.0416698,-68.5417023,143.05499999999992
257,-8.0416698,-68.4582977,133.30109999999996
258,-8.0416698,-68.375,144.3466999999999
259,-8.0416698,-68.2917023,141.88309999999993
260,-8.0416698,-68.2082977,140.43579999999992
261,-8.0416698,-68.125,143.27699999999993
262,-8.0416698,-68.0417023,138.84249999999994
263,-8.0416698,-67.9582977,128.1384
264,-8.0416698,-67.875,122.44109999999996
265,-8.0416698,-67.7917023,82.10450000000004
266,-8.0416698,-67.7082977,122.74869999999996
267,-8.0416698,-67.625,84.71859999999998
268,-8.0416698,-67.5417023,125.33779999999997
269,-8.0416698,-67.4582977,124.88439999999997
270,-8.0416698,-67.375,126.29279999999997
271,-8.0416698,-67.2917023,140.07239999999993
272,-8.0416698,-67.2082977,125.89989999999996
273,-8.0416698,-67.125,124.49089999999998
274,-8.0416698,-67.0417023,126.64529999999995
275,-8.0416698,-66.9582977,138.40049999999997
276,-8.0416698,-66.875,138.85599999999994
277,-8.0416698,-66.7917023,121.75389999999997
278,-8.0416698,-66.7082977,122.66519999999998
279,-8.0416698,-66.625,121.45689999999999
280,-8.0416698,-66.5417023,122.73019999999997
281,-8.0416698,-66.4582977,121.19739999999997
282,-8.0416698,-66.375,120.77959999999997
283,-8.0416698,-66.2917023,125.48349999999999
284,-8.0416698,-66.2082977,121.30690000000003
285,-8.0416698,-66.125,121.81380000000001
286,-8.0416698,-66.0417023,120.72720000000001
287,-8.0416698,-65.9582977,122.95290000000001
288,-8.0416698,-65.875,123.6419
289,-8.0416698,-65.7917023,122.7236
290,-8.0416698,-65.7082977,136.50920000000005
291,-8.0416698,-65.625,126.00899999999997
292,-8.0416698,-65.5417023,127.71980000000002
293,-8.0416698,-65.4582977,107.11100000000005
294,-8.0416698,-65.375,119.21379999999998
295,-8.0416698,-65.2917023,134.06119999999996
296,-8.0416698,-65.2082977,125.49429999999998
297,-8.0416698,-65.125,125.08720000000001
298,-8.0416698,-65.0417023,114.98570000000001
299,-8.0416698,-64.9582977,137.00069999999997
300,-8.0416698,-64.875,125.71529999999998
301,-8.0416698,-64.7917023,126.98759999999997
302,-8.0416698,-64.7082977,140.1633
303,-8.125,-77.625,323.1689
304,-8.125,-77.5417023,310.75989999999996
305,-8.125,-77.4582977,309.5457
306,-8.125,-77.375,307.5254
307,-8.125,-77.125,290.5160000000001
308,-8.125,-77.0417023,301.51060000000007
309,-8.125,-76.9582977,291.7653000000001
310,-8.125,-76.875,273.29030000000023
311,-8.125,-76.7917023,235.21620000000001
312,-8.125,-76.7082977,231.88310000000016
313,-8.125,-76.625,227.73530000000014
314,-8.125,-76.5417023,232.5700000000001
315,-8.125,-76.4582977,185.04589999999996
316,-8.125,-76.375,225.23960000000002
317,-8.125,-76.2917023,158.12390000000002
318,-8.125,-76.2082977,217.50580000000005
319,-8.125,-76.125,177.20149999999998
320,-8.125,-76.0417023,260.1682000000002
321,-8.125,-75.9582977,232.9770000000001
322,-8.125,-75.875,179.47769999999997
323,-8.125,-75.7917023,243.57120000000003
324,-8.125,-75.7082977,228.93360000000013
325,-8.125,-75.625,217.12090000000012
326,-8.125,-75.5417023,175.05020000000007
327,-8.125,-75.4582977,112.00940000000006
328,-8.125,-75.375,163.8427
329,-8.125,-75.2917023,118.96180000000005
330,-8.125,-75.2082977,147.1104
331,-8.125,-75.125,111.21240000000007
332,-8.125,-75.0417023,126.04279999999999
333,-8.125,-74.9582977,103.14359999999996
334,-8.125,-74.875,101.35549999999999
335,-8.125,-74.7917023,109.30389999999997
336,-8.125,-74.7082977,183.68979999999996
337,-8.125,-74.625,168.86179999999996
338,-8.125,-74.5417023,188.05199999999996
339,-8.125,-74.4582977,186.04449999999997
340,-8.125,-74.375,145.77349999999996
341,-8.125,-74.2917023,149.06559999999988
342,-8.125,-74.2082977,161.76219999999986
343,-8.125,-74.125,148.1028
344,-8.125,-74.0417023,123.87630000000003
345,-8.125,-73.9582977,130.9609
346,-8.125,-73.875,164.70009999999994
347,-8.125,-73.7917023,175.82179999999994
348,-8.125,-73.7082977,149.51109999999997
349,-8.125,-73.625,161.04559999999995
350,-8.125,-73.5417023,157.85109999999997
351,-8.125,-73.4582977,166.11439999999996
352,-8.125,-73.375,157.8636999999999
353,-8.125,-73.2917023,171.5307
354,-8.125,-73.2082977,174.99259999999998
355,-8.125,-73.125,170.86739999999995
356,-8.125,-73.0417023,169.47099999999998
357,-8.125,-72.9582977,133.84199999999998
358,-8.125,-72.875,175.32029999999997
359,-8.125,-72.7917023,172.00869999999992
360,-8.125,-72.7082977,167.88699999999994
361,-8.125,-72.625,178.1736999999999
362,-8.125,-72.5417023,180.42919999999995
363,-8.125,-72.4582977,185.39519999999993
364,-8.125,-72.375,183.24879999999996
365,-8.125,-72.2917023,179.7401
366,-8.125,-72.2082977,220.9084000000001
367,-8.125,-72.125,193.27459999999996
368,-8.125,-72.0417023,212.83990000000006
369,-8.125,-71.9582977,214.61210000000003
370,-8.125,-71.875,222.5641000000001
371,-8.125,-71.7917023,223.2327000000001
372,-8.125,-71.7082977,221.24320000000014
373,-8.125,-71.625,213.37570000000008
374,-8.125,-71.5417023,234.02900000000017
375,-8.125,-71.4582977,195.60209999999998
376,-8.125,-71.375,181.40279999999996
377,-8.125,-71.2917023,191.9116
378,-8.125,-71.2082977,171.14680000000004
379,-8.125,-71.125,169.98070000000004
380,-8.125,-71.0417023,178.59380000000002
381,-8.125,-70.9582977,175.82339999999996
382,-8.125,-70.875,174.21309999999997
383,-8.125,-70.7917023,206.4566
384,-8.125,-70.7082977,148.6507999999999
385,-8.125,-70.625,222.37040000000007
386,-8.125,-70.5417023,213.30530000000007
387,-8.125,-70.4582977,161.90639999999988
388,-8.125,-70.375,156.98929999999987
389,-8.125,-70.2917023,145.93249999999992
390,-8.125,-70.2082977,141.59149999999994
391,-8.125,-70.125,156.41309999999993
392,-8.125,-70.0417023,136.22029999999995
393,-8.125,-69.9582977,130.44739999999993
394,-8.125,-69.875,134.26869999999994
395,-8.125,-69.7917023,142.40699999999995
396,-8.125,-69.7082977,129.90199999999996
397,-8.125,-69.625,156.85699999999986
398,-8.125,-69.5417023,146.6322999999999
399,-8.125,-69.4582977,147.49379999999996
400,-8.125,-69.375,128.88569999999999
401,-8.125,-69.2917023,135.0441999999999
402,-8.125,-69.2082977,127.07789999999996
403,-8.125,-69.125,153.48399999999995
404,-8.125,-69.0417023,133.93939999999992
405,-8.125,-68.9582977,129.58619999999996
406,-8.125,-68.875,134.02349999999996
407,-8.125,-68.7917023,162.20129999999995
408,-8.125,-68.7082977,132.57809999999995
409,-8.125,-68.625,136.4681999999999
410,-8.125,-68.5417023,139.10389999999992
411,-8.125,-68.4582977,129.9892
412,-8.125,-68.375,142.9524999999999
413,-8.125,-68.2917023,139.87779999999992
414,-8.125,-68.2082977,127.69339999999994
415,-8.125,-68.125,140.82229999999996
416,-8.125,-68.0417023,131.45579999999998
417,-8.125,-67.9582977,126.42399999999996
418,-8.125,-67.875,113.58760000000002
419,-8.125,-67.7917023,120.19759999999998
420,-8.125,-67.7082977,129.1573
421,-8.125,-67.625,77.2148
422,-8.125,-67.5417023,120.05599999999997
423,-8.125,-67.4582977,125.00889999999998
424,-8.125,-67.375,122.15629999999999
425,-8.125,-67.2917023,127.99349999999995
426,-8.125,-67.2082977,122.26899999999996
427,-8.125,-67.125,121.6399
428,-8.125,-67.0417023,144.1460999999999
429,-8.125,-66.9582977,142.0772999999999
430,-8.125,-66.875,125.25099999999996
431,-8.125,-66.7917023,125.06369999999995
432,-8.125,-66.7082977,129.10749999999993
433,-8.125,-66.625,142.32509999999994
434,-8.125,-66.5417023,124.08229999999996
435,-8.125,-66.4582977,122.79519999999995
436,-8.125,-66.375,121.81829999999998
437,-8.125,-66.2917023,119.49679999999998
438,-8.125,-66.2082977,121.69539999999999
439,-8.125,-66.125,121.09239999999994
440,-8.125,-66.0417023,122.97529999999998
441,-8.125,-65.9582977,126.728
442,-8.125,-65.875,127.11059999999998
443,-8.125,-65.7917023,115.31180000000002
444,-8.125,-65.7082977,114.24610000000001
445,-8.125,-65.625,129.45819999999998
446,-8.125,-65.5417023,121.3434
447,-8.125,-65.4582977,120.69940000000003
448,-8.125,-65.375,127.51639999999999
449,-8.125,-65.2917023,120.45459999999997
450,-8.125,-65.2082977,127.07449999999997
451,-8.125,-65.125,123.83859999999993
452,-8.125,-65.0417023,142.32469999999995
453,-8.125,-64.9582977,126.1374
454,-8.125,-64.875,126.42420000000001
455,-8.125,-64.7917023,142.00289999999995
456,-8.125,-64.7082977,113.01900000000002
457,-8.2083302,-77.625,335.4922
458,-8.2083302,-77.5417023,309.7927
459,-8.2083302,-77.4582977,307.88619999999986
460,-8.2083302,-77.375,328.46399999999994
461,-8.2083302,-77.2917023,320.9103999999999
462,-8.2083302,-77.2082977,306.3448000000001
463,-8.2083302,-77.125,303.1417000000002
464,-8.2083302,-77.0417023,321.5995000000001
465,-8.2083302,-76.9582977,308.3057000000001
466,-8.2083302,-76.875,309.1774000000001
467,-8.2083302,-76.7917023,293.5270000000001
468,-8.2083302,-76.7082977,274.07860000000016
469,-8.2083302,-76.625,214.5849000000001
470,-8.2083302,-76.5417023,208.44590000000008
471,-8.2083302,-76.4582977,236.44070000000013
472,-8.2083302,-76.375,185.36219999999994
473,-8.2083302,-76.2917023,176.48289999999997
474,-8.2083302,-76.2082977,156.87580000000003
475,-8.2083302,-76.125,240.74030000000016
476,-8.2083302,-76.0417023,259.3749
477,-8.2083302,-75.9582977,274.62330000000014
478,-8.2083302,-75.875,269.9887000000001
479,-8.2083302,-75.7917023,233.73220000000003
480,-8.2083302,-75.7082977,254.6590000000002
481,-8.2083302,-75.625,199.37910000000002
482,-8.2083302,-75.5417023,215.78409999999997
483,-8.2083302,-75.4582977,150.70749999999995
484,-8.2083302,-75.375,130.84180000000003
485,-8.2083302,-75.2917023,123.41430000000003
486,-8.2083302,-75.2082977,130.29390000000004
487,-8.2083302,-75.125,132.233
488,-8.2083302,-75.0417023,92.50100000000003
489,-8.2083302,-74.9582977,104.80009999999999
490,-8.2083302,-74.875,101.35349999999998
491,-8.2083302,-74.7917023,109.90449999999996
492,-8.2083302,-74.7082977,172.6712
493,-8.2083302,-74.625,167.7263
494,-8.2083302,-74.5417023,188.06489999999997
495,-8.2083302,-74.4582977,188.02759999999995
496,-8.2083302,-74.375,167.5728999999999
497,-8.2083302,-74.2917023,178.53219999999993
498,-8.2083302,-74.2082977,179.15479999999997
499,-8.2083302,-74.125,169.56529999999992
500,-8.2083302,-74.0417023,167.71470000000002
501,-8.2083302,-73.9582977,158.75229999999996
502,-8.2083302,-73.875,160.08529999999996
503,-8.2083302,-73.7917023,176.83979999999997
504,-8.2083302,-73.7082977,152.45489999999995
505,-8.2083302,-73.625,166.81639999999996
506,-8.2083302,-73.5417023,180.83909999999997
507,-8.2083302,-73.4582977,157.54299999999998
508,-8.2083302,-73.375,179.1692
509,-8.2083302,-73.2917023,158.8953999999999
510,-8.2083302,-73.2082977,170.22629999999992
511,-8.2083302,-73.125,164.19939999999988
512,-8.2083302,-73.0417023,182.87289999999996
513,-8.2083302,-72.9582977,178.34089999999992
514,-8.2083302,-72.875,170.09529999999992
515,-8.2083302,-72.7917023,164.06169999999995
516,-8.2083302,-72.7082977,179.20099999999994
517,-8.2083302,-72.625,183.15119999999996
518,-8.2083302,-72.5417023,174.19639999999993
519,-8.2083302,-72.4582977,168.44059999999988
520,-8.2083302,-72.375,185.11569999999992
521,-8.2083302,-72.2917023,183.8569
522,-8.2083302,-72.2082977,219.7855000000001
523,-8.2083302,-72.125,191.24489999999997
524,-8.2083302,-72.0417023,216.64060000000006
525,-8.2083302,-71.9582977,194.37919999999997
526,-8.2083302,-71.875,225.04640000000015
527,-8.2083302,-71.7917023,194.26059999999998
528,-8.2083302,-71.7082977,218.90760000000012
529,-8.2083302,-71.625,214.06460000000007
530,-8.2083302,-71.5417023,217.41680000000005
531,-8.2083302,-71.4582977,212.4346000000001
532,-8.2083302,-71.375,212.6646000000001
533,-8.2083302,-71.2917023,184.9836
534,-8.2083302,-71.2082977,194.25140000000002
535,-8.2083302,-71.125,180.29140000000004
536,-8.2083302,-71.0417023,184.9495
537,-8.2083302,-70.9582977,183.59219999999996
538,-8.2083302,-70.875,160.35229999999996
539,-8.2083302,-70.7917023,146.8802999999999
540,-8.2083302,-70.7082977,203.95840000000004
541,-8.2083302,-70.625,220.6553000000001
542,-8.2083302,-70.5417023,194.38869999999994
543,-8.2083302,-70.4582977,141.36399999999992
544,-8.2083302,-70.375,153.29529999999988
545,-8.2083302,-70.2917023,127.07439999999997
546,-8.2083302,-70.2082977,172.68369999999996
547,-8.2083302,-70.125,169.12829999999988
548,-8.2083302,-70.0417023,140.58429999999996
549,-8.2083302,-69.9582977,135.09869999999992
550,-8.2083302,-69.875,127.69469999999993
551,-8.2083302,-69.7917023,147.63319999999993
552,-8.2083302,-69.7082977,154.78749999999988
553,-8.2083302,-69.625,125.21729999999997
554,-8.2083302,-69.5417023,141.25769999999991
555,-8.2083302,-69.4582977,132.38179999999988
556,-8.2083302,-69.375,129.63699999999994
557,-8.2083302,-69.2917023,128.82679999999993
558,-8.2083302,-69.2082977,117.9595
559,-8.2083302,-69.125,131.07599999999994
560,-8.2083302,-69.0417023,136.8907999999999
561,-8.2083302,-68.9582977,134.53259999999995
562,-8.2083302,-68.875,154.18369999999993
563,-8.2083302,-68.7917023,150.90199999999996
564,-8.2083302,-68.7082977,136.67149999999995
565,-8.2083302,-68.625,128.634
566,-8.2083302,-68.5417023,153.30309999999994
567,-8.2083302,-68.4582977,141.9021999999999
568,-8.2083302,-68.375,144.12569999999994
569,-8.2083302,-68.2917023,147.11749999999992
570,-8.2083302,-68.2082977,143.29619999999994
571,-8.2083302,-68.125,139.17539999999997
572,-8.2083302,-68.0417023,115.44949999999999
573,-8.2083302,-67.9582977,128.88379999999998
574,-8.2083302,-67.875,131.35599999999994
575,-8.2083302,-67.7917023,115.76599999999999
576,-8.2083302,-67.7082977,143.57879999999994
577,-8.2083302,-67.625,142.87419999999995
578,-8.2083302,-67.5417023,147.6762999999999
579,-8.2083302,-67.4582977,120.05419999999998
580,-8.2083302,-67.375,137.50109999999992
581,-8.2083302,-67.2917023,131.90439999999998
582,-8.2083302,-67.2082977,127.59009999999996
583,-8.2083302,-67.125,122.88359999999997
584,-8.2083302,-67.0417023,122.57299999999998
585,-8.2083302,-66.9582977,137.14079999999996
586,-8.2083302,-66.875,132.63609999999994
587,-8.2083302,-66.7917023,124.46219999999998
588,-8.2083302,-66.7082977,124.69709999999995
589,-8.2083302,-66.625,129.49399999999997
590,-8.2083302,-66.5417023,125.25629999999994
591,-8.2083302,-66.4582977,129.1433999999999
592,-8.2083302,-66.375,123.29539999999996
593,-8.2083302,-66.2917023,118.66569999999997
594,-8.2083302,-66.2082977,119.33729999999996
595,-8.2083302,-66.125,118.83240000000002
596,-8.2083302,-66.0417023,129.74619999999996
597,-8.2083302,-65.9582977,120.29629999999997
598,-8.2083302,-65.875,126.46419999999995
599,-8.2083302,-65.7917023,106.23599999999999
600,-8.2083302,-65.7082977,122.17959999999998
601,-8.2083302,-65.625,116.1558
602,-8.2083302,-65.5417023,127.73579999999997
603,-8.2083302,-65.4582977,118.87489999999997
604,-8.2083302,-65.375,139.45759999999993
605,-8.2083302,-65.2917023,146.44049999999993
606,-8.2083302,-65.2082977,141.2660999999999
607,-8.2083302,-65.125,149.68079999999995
608,-8.2083302,-65.0417023,126.79409999999999
609,-8.2083302,-64.9582977,137.21349999999993
610,-8.2083302,-64.875,126.04019999999998
611,-8.2083302,-64.7917023,144.33339999999995
612,-8.2083302,-64.7082977,123.12509999999999
613,-8.2916698,-77.625,337.78219999999993
614,-8.2916698,-77.5417023,337.8589999999999
615,-8.2916698,-77.4582977,334.38609999999994
616,-8.2916698,-77.375,319.7731
617,-8.2916698,-77.2917023,318.66409999999996
618,-8.2916698,-77.2082977,311.4974
619,-8.2916698,-77.125,302.68489999999997
620,-8.2916698,-77.0417023,321.0024
621,-8.2916698,-76.9582977,311.5287000000001
